iter	RMSE
170	0.000810024051
171	0.0007884561247
172	0.0007606942846
173	0.0007394076024
174	0.0007101331352
175	0.0006954010369
176	0.000666386777
177	0.0006493463951
178	0.0006316071987
179	0.0006038726147
180	0.0005912563979
181	0.0005719227262
182	0.0005549603645
183	0.0005302712888
184	0.0005077383695
185	0.0004959203377
186	0.0004763970919
187	0.0004615177959
188	0.0004461043214
189	0.000426455909
190	0.0004103160334
191	0.0003980833706
192	0.0003882295332
193	0.0003842597672
194	0.0003727347606
195	0.0003591277781
196	0.0003455286777
197	0.0003317260995
198	0.0003198090906
199	0.0003104233367
200	0.0003008713201
201	0.000288852308
202	0.0002783223733
203	0.0002702410355
204	0.0002643521472
205	0.0002557805921
206	0.0002523641206
207	0.0002473821535
208	0.0002431199258
209	0.0002350854383
210	0.0002299331911
211	0.0002228272179
212	0.0002148901649
213	0.0002055325851
214	0.0002039429596
215	0.0001983818339
216	0.0001947037253
217	0.0001858634789
218	0.0001811469834
219	0.0001788811314
220	0.0001733929078
221	0.0001699065483
222	0.0001621964214
223	0.000157293373
224	0.0001533138789
225	0.0001470654308
226	0.0001414918082
227	0.0001363251494
228	0.0001315785266
229	0.0001293268115
230	0.0001246996058
231	0.0001195047941
232	0.0001146496014
233	0.0001100896531
234	0.000106032723
235	0.0001030869453
236	0.0001011856713
237	9.748920395e-05
238	9.524867145e-05
239	9.184354803e-05
240	8.800315488e-05
241	8.465867664e-05
242	8.257027579e-05
243	7.93596939e-05
244	7.803739602e-05
245	7.505915875e-05
246	7.238026535e-05
247	6.965050422e-05
248	6.6521228e-05
249	6.432173385e-05
250	6.171964334e-05
251	5.920239209e-05
252	5.739567176e-05
253	5.628989267e-05
254	5.421794236e-05
255	5.252690848e-05
256	5.135210465e-05
257	4.891664787e-05
258	4.78417866e-05
259	4.60283295e-05
260	4.454335836e-05
261	4.356527972e-05
262	4.214223155e-05
263	4.065382423e-05
264	3.940278374e-05
265	3.84469594e-05
266	3.77907953e-05
267	3.626438622e-05
268	3.545511023e-05
269	3.407615982e-05
270	3.272891881e-05
271	3.155790657e-05
272	3.04397014e-05
273	2.950916039e-05
274	2.852114028e-05
275	2.782826724e-05
276	2.723550239e-05
277	2.652855909e-05
278	2.603800091e-05
279	2.510023622e-05
280	2.459876166e-05
281	2.381258582e-05
282	2.311915103e-05
283	2.220462306e-05
284	2.177892161e-05
285	2.13262638e-05
286	2.07370287e-05
287	2.013284112e-05
288	1.947210424e-05
289	1.888579861e-05
290	1.847350103e-05
291	1.786430384e-05
292	1.750060243e-05
293	1.707777562e-05
294	1.670228206e-05
295	1.623627915e-05
296	1.600670581e-05
297	1.550111243e-05
298	1.514095136e-05
299	1.477872889e-05
300	1.428494557e-05
301	1.387334754e-05
302	1.338612147e-05
303	1.294610915e-05
304	1.247421887e-05
305	1.21087903e-05
306	1.183073908e-05
307	1.148930578e-05
308	1.120715124e-05
309	1.08526486e-05
310	1.041776741e-05
311	9.980152376e-06
312	9.765159848e-06
313	9.447793201e-06
314	9.176116108e-06
315	8.938585666e-06
316	8.603187631e-06
317	8.46852994e-06
318	8.269623726e-06
319	7.920110993e-06
320	7.709776762e-06
321	7.443272882e-06
322	7.280218892e-06
323	7.216943357e-06
324	6.97448775e-06
325	6.813648466e-06
326	6.568052455e-06
327	6.339769074e-06
328	6.14279559e-06
329	5.992787935e-06
330	5.819366741e-06
331	5.663937621e-06
332	5.533608509e-06
333	5.35605965e-06
334	5.291059147e-06
335	5.153136354e-06
336	5.024971446e-06
337	4.895038636e-06
338	4.731557949e-06
339	4.659988339e-06
340	4.522848772e-06
341	4.439200968e-06
342	4.314921786e-06
343	4.157625431e-06
344	4.068199223e-06
345	3.941649676e-06
346	3.879928577e-06
347	3.732076448e-06
348	3.661570994e-06
349	3.568831721e-06
350	3.463875152e-06
351	3.356996871e-06
352	3.259269708e-06
353	3.144380599e-06
354	3.107425832e-06
355	3.070059666e-06
356	2.97184524e-06
357	2.872709541e-06
358	2.789326228e-06
359	2.689275684e-06
360	2.59123574e-06
361	2.519970645e-06
362	2.423358615e-06
363	2.382762812e-06
364	2.278031348e-06
365	2.223784405e-06
366	2.141743951e-06
367	2.075013711e-06
368	1.995467905e-06
369	1.945621356e-06
370	1.899315403e-06
371	1.855708877e-06
372	1.787764745e-06
373	1.735869143e-06
374	1.69167744e-06
375	1.654201341e-06
376	1.59454638e-06
377	1.566924238e-06
378	1.53303672e-06
379	1.505876696e-06
380	1.474238094e-06
381	1.421401023e-06
382	1.374868322e-06
383	1.3311501e-06
384	1.28175268e-06
385	1.237793084e-06
386	1.207118767e-06
387	1.174867144e-06
388	1.14142044e-06
389	1.105282149e-06
390	1.072071349e-06
391	1.046669663e-06
392	1.023509486e-06
393	9.872168305e-07
394	9.55382859e-07
395	9.299195906e-07
396	9.020467186e-07
397	8.760380447e-07
398	8.53202192e-07
399	8.356353503e-07
400	8.150759596e-07
401	7.970405775e-07
402	7.678955756e-07
403	7.37713685e-07
404	7.112794073e-07
405	6.823655658e-07
406	6.607557501e-07
407	6.491171695e-07
408	6.249527629e-07
409	5.993094626e-07
410	5.805567252e-07
411	5.717759571e-07
412	5.600308278e-07
413	5.481555943e-07
414	5.315866499e-07
415	5.221846197e-07
416	5.149758598e-07
417	5.020284603e-07
418	4.83099169e-07
419	4.69000073e-07
420	4.533456471e-07
421	4.457380765e-07
422	4.363378678e-07
423	4.336848368e-07
424	4.184866416e-07
425	4.026800196e-07
426	3.916088572e-07
427	3.806581015e-07
428	3.743317455e-07
429	3.574085216e-07
430	3.483951647e-07
431	3.351242992e-07
432	3.311089643e-07
433	3.209846788e-07
434	3.103188608e-07
435	2.987220463e-07
436	2.929935501e-07
437	2.815699916e-07
438	2.743980582e-07
439	2.696708678e-07
440	2.646435131e-07
441	2.558560814e-07
442	2.476050957e-07
443	2.366814838e-07
444	2.299390685e-07
445	2.219116159e-07
446	2.147261277e-07
447	2.082360158e-07
448	2.009963301e-07
449	1.943787229e-07
450	1.899939811e-07
451	1.870227008e-07
452	1.821524784e-07
453	1.769041243e-07
454	1.720736099e-07
455	1.677112287e-07
456	1.653135464e-07
457	1.632262636e-07
458	1.579516959e-07
459	1.536618346e-07
460	1.488854031e-07
461	1.462393089e-07
462	1.418917545e-07
463	1.399949296e-07
464	1.35525214e-07
465	1.313127583e-07
466	1.288928506e-07
467	1.253840674e-07
468	1.218652503e-07
469	1.194494094e-07
470	1.148804784e-07
471	1.129665424e-07
472	1.092037094e-07
473	1.061831961e-07
474	1.040172508e-07
475	1.007844184e-07
476	9.795449503e-08
477	9.470073573e-08
478	9.206685898e-08
479	8.91793073e-08
480	8.65237468e-08
481	8.370880532e-08
482	8.052833124e-08
483	7.784882949e-08
484	7.67269728e-08
485	7.571211752e-08
486	7.282558667e-08
487	7.137220184e-08
488	6.921325819e-08
489	6.670426807e-08
490	6.489137187e-08
491	6.314990293e-08
492	6.110600764e-08
493	5.931447386e-08
494	5.782296179e-08
495	5.686077044e-08
496	5.570946953e-08
497	5.443534823e-08
498	5.346361986e-08
499	5.18511445e-08
500	5.123668915e-08
501	4.980872311e-08
502	4.885507669e-08
503	4.70495375e-08
504	4.578566104e-08
505	4.420617194e-08
506	4.29232856e-08
507	4.210830155e-08
508	4.073826946e-08
509	3.90681195e-08
510	3.790037555e-08
511	3.666937589e-08
512	3.565565688e-08
513	3.444828703e-08
514	3.330832749e-08
515	3.249650054e-08
516	3.171967415e-08
517	3.097642836e-08
518	2.974208382e-08
519	2.867492905e-08
520	2.783155868e-08
521	2.68102077e-08
522	2.650077382e-08
523	2.565441699e-08
524	2.462819296e-08
525	2.372895878e-08
526	2.2901327e-08
527	2.223951898e-08
528	2.178730321e-08
529	2.103943044e-08
530	2.031658648e-08
531	1.978218981e-08
532	1.957390641e-08
533	1.877272027e-08
534	1.806784548e-08
535	1.74143878e-08
536	1.689406928e-08
537	1.630419382e-08
538	1.585231212e-08
539	1.517272612e-08
540	1.478152856e-08
541	1.426392435e-08
542	1.379494135e-08
543	1.356218631e-08
544	1.318039134e-08
545	1.301170501e-08
546	1.263538968e-08
547	1.213919017e-08
548	1.166430611e-08
549	1.124097833e-08
550	1.089276739e-08
551	1.056643866e-08
552	1.019843664e-08
553	9.890830728e-09
554	9.570252779e-09
555	9.346077507e-09
556	9.099796664e-09
557	8.919404132e-09
558	8.755768864e-09
559	8.473560383e-09
560	8.214778132e-09
561	7.942573787e-09
562	7.779283402e-09
563	7.674601106e-09
564	7.52309433e-09
565	7.331949274e-09
566	7.212343609e-09
567	7.019935175e-09
568	6.815151322e-09
569	6.572017149e-09
570	6.353184102e-09
571	6.210136279e-09
572	5.992330652e-09
573	5.73129582e-09
574	5.548536169e-09
575	5.432642267e-09
576	5.337686681e-09
577	5.14249883e-09
578	4.936554784e-09
579	4.809229778e-09
580	4.62476965e-09
581	4.440489298e-09
582	4.300072246e-09
583	4.246780983e-09
584	4.142341003e-09
585	4.084689586e-09
586	3.981637601e-09
587	3.912945465e-09
588	3.842280785e-09
589	3.73243524e-09
590	3.589153755e-09
591	3.484666014e-09
592	3.407993605e-09
593	3.293301437e-09
594	3.203034634e-09
595	3.13013892e-09
596	3.028838559e-09
597	2.943179569e-09
598	2.846076853e-09
599	2.791740911e-09
600	2.693557411e-09
601	2.616462633e-09
602	2.545564576e-09
603	2.52092251e-09
604	2.458868719e-09
605	2.384823505e-09
606	2.336349464e-09
607	2.306564799e-09
608	2.235350885e-09
609	2.168139226e-09
610	2.095843251e-09
611	2.039302549e-09
612	1.975870441e-09
613	1.923943537e-09
614	1.876397251e-09
615	1.799873911e-09
616	1.774262362e-09
617	1.729522437e-09
618	1.7021796e-09
619	1.681260688e-09
620	1.665945626e-09
621	1.613683835e-09
622	1.559429054e-09
623	1.507229314e-09
624	1.471051648e-09
625	1.455667965e-09
626	1.414296866e-09
627	1.359588875e-09
628	1.331539175e-09
629	1.323128415e-09
630	1.293768923e-09
631	1.260340706e-09
632	1.243145596e-09
633	1.210933645e-09
634	1.19371348e-09
635	1.167314643e-09
636	1.12812719e-09
637	1.086120081e-09
638	1.04936021e-09
639	1.036414915e-09
640	1.00571591e-09
641	9.712545015e-10
642	9.410005784e-10
643	9.076216425e-10
644	8.728329567e-10
645	8.528759946e-10
646	8.436737258e-10
647	8.294988716e-10
648	8.218688549e-10
649	7.966743884e-10
650	7.75404995e-10
651	7.552694965e-10
652	7.394186226e-10
653	7.285242082e-10
654	7.259311485e-10
655	7.101299438e-10
656	6.891451048e-10
657	6.583761118e-10
658	6.386178719e-10
659	6.310859123e-10
660	6.076953825e-10
661	5.812610036e-10
662	5.562938469e-10
663	5.401823216e-10
664	5.27168974e-10
665	5.057034126e-10
666	4.83952097e-10
667	4.734354613e-10
668	4.607321521e-10
669	4.467776275e-10
670	4.300316176e-10
671	4.149013687e-10
672	4.018752944e-10
673	3.903878687e-10
674	3.867191112e-10
675	3.750727177e-10
676	3.623067297e-10
677	3.520455279e-10
678	3.369550395e-10
679	3.290876971e-10
680	3.228310091e-10
681	3.115345448e-10
682	3.055609808e-10
683	2.959500554e-10
684	2.922658062e-10
685	2.834668424e-10
686	2.774338058e-10
687	2.655453212e-10
688	2.546666266e-10
689	2.447815541e-10
690	2.350516691e-10
691	2.292177281e-10
692	2.221590003e-10
693	2.195776212e-10
694	2.148133808e-10
695	2.094268959e-10
696	2.034146995e-10
697	1.942974406e-10
698	1.917826689e-10
699	1.880179028e-10
700	1.835167583e-10
701	1.767669096e-10
702	1.732787973e-10
703	1.707474582e-10
704	1.632281572e-10
705	1.571123431e-10
706	1.510569003e-10
707	1.485741254e-10
708	1.45257213e-10
709	1.402857757e-10
710	1.353005044e-10
711	1.324681402e-10
712	1.27864032e-10
713	1.230839424e-10
714	1.203474678e-10
715	1.166750949e-10
716	1.144874132e-10
717	1.121501133e-10
718	1.091429797e-10
719	1.053148533e-10
720	1.012489637e-10
721	9.774898417e-11
722	9.567626082e-11
723	9.391587055e-11
724	9.153005523e-11
725	8.885225462e-11
726	8.729837168e-11
727	8.557004023e-11
728	8.359485167e-11
729	8.285009067e-11
730	8.20286035e-11
731	8.05935282e-11
732	7.723067731e-11
733	7.481615762e-11
734	7.172868537e-11
735	7.068623298e-11
736	6.894848457e-11
737	6.705752466e-11
738	6.516921662e-11
739	6.319848615e-11
740	6.174851787e-11
741	5.990979596e-11
742	5.85137972e-11
743	5.734354541e-11
744	5.542155634e-11
745	5.37918471e-11
746	5.277387696e-11
747	5.176935608e-11
748	5.060288195e-11
749	4.960958818e-11
750	4.843302597e-11
751	4.736625731e-11
752	4.619386106e-11
753	4.523458227e-11
754	4.414429157e-11
755	4.312073937e-11
756	4.226862629e-11
757	4.168707722e-11
758	4.081332099e-11
759	3.990843938e-11
760	3.931206781e-11
761	3.887515054e-11
762	3.819765593e-11
763	3.753837941e-11
764	3.716147949e-11
765	3.606456365e-11
766	3.557196129e-11
767	3.517893415e-11
768	3.40561319e-11
769	3.317181313e-11
770	3.23269045e-11
771	3.150175525e-11
772	3.052421077e-11
773	2.978591401e-11
774	2.869778854e-11
775	2.777279312e-11
776	2.679828227e-11
777	2.653054022e-11
778	2.553146325e-11
779	2.46564215e-11
780	2.439825201e-11
781	2.369101189e-11
782	2.310010985e-11
783	2.266620653e-11
784	2.206121925e-11
785	2.184111668e-11
786	2.150122413e-11
787	2.099754911e-11
788	2.078409594e-11
789	2.031958306e-11
790	1.982076228e-11
791	1.947609854e-11
792	1.899498453e-11
793	1.886915306e-11
794	1.833351808e-11
