iter	Passed	Remaining
211	912	3390
212	916	3384
213	920	3381
214	924	3375
215	929	3372
216	933	3366
217	937	3362
218	941	3356
219	945	3352
220	949	3347
221	953	3341
222	958	3338
223	961	3332
224	966	3327
225	970	3322
226	974	3318
227	978	3313
228	982	3309
229	986	3303
230	991	3300
231	995	3295
232	1000	3292
233	1004	3289
234	1009	3285
235	1014	3284
236	1019	3282
237	1024	3279
238	1029	3277
239	1033	3271
240	1037	3266
241	1041	3261
242	1045	3255
243	1048	3249
244	1052	3244
245	1056	3239
246	1060	3234
247	1064	3228
248	1068	3222
249	1072	3217
250	1076	3212
251	1080	3206
252	1084	3200
253	1087	3195
254	1092	3190
255	1096	3185
256	1100	3181
257	1104	3177
258	1109	3173
259	1113	3170
260	1117	3164
261	1122	3161
262	1126	3155
263	1130	3151
264	1134	3146
265	1139	3143
266	1143	3138
267	1147	3133
268	1151	3129
269	1156	3125
270	1160	3121
271	1164	3116
272	1168	3112
273	1176	3116
274	1180	3111
275	1184	3106
276	1189	3105
277	1193	3100
278	1197	3095
279	1201	3090
280	1205	3085
281	1209	3079
282	1213	3075
283	1217	3069
284	1221	3064
285	1225	3060
286	1229	3055
287	1233	3050
288	1237	3045
289	1241	3040
290	1245	3034
291	1250	3031
292	1254	3027
293	1258	3022
294	1262	3017
295	1267	3013
296	1271	3009
297	1275	3004
298	1279	3000
299	1284	2996
300	1288	2991
301	1292	2987
302	1296	2982
303	1300	2978
304	1304	2973
305	1308	2968
306	1312	2963
307	1317	2959
308	1321	2955
309	1325	2950
310	1329	2945
311	1334	2941
312	1338	2936
313	1342	2933
314	1346	2927
315	1350	2924
316	1354	2919
317	1359	2914
318	1362	2909
319	1367	2905
320	1371	2900
321	1374	2894
322	1378	2889
323	1382	2885
324	1386	2880
325	1390	2875
326	1394	2869
327	1398	2865
328	1402	2860
329	1406	2855
330	1410	2850
331	1414	2845
332	1418	2841
333	1422	2836
334	1426	2831
335	1430	2827
336	1434	2823
337	1438	2818
338	1443	2814
339	1447	2809
340	1451	2805
341	1455	2800
342	1459	2796
343	1464	2792
344	1468	2787
345	1472	2783
346	1476	2779
347	1481	2774
348	1485	2770
349	1489	2765
350	1493	2761
351	1497	2757
352	1501	2752
353	1505	2748
354	1509	2743
355	1514	2739
356	1518	2734
357	1522	2730
358	1528	2728
359	1533	2725
360	1538	2723
361	1544	2722
362	1548	2717
363	1553	2714
364	1558	2711
365	1563	2707
366	1567	2703
367	1571	2698
368	1575	2694
369	1579	2689
370	1583	2684
371	1587	2679
372	1590	2674
373	1594	2669
374	1598	2664
375	1602	2659
376	1606	2654
377	1610	2650
378	1614	2645
379	1618	2640
380	1622	2635
381	1626	2630
382	1630	2626
383	1634	2621
384	1638	2617
385	1642	2613
386	1647	2609
387	1651	2604
388	1655	2600
389	1660	2596
390	1664	2591
391	1668	2587
392	1672	2582
393	1676	2578
394	1680	2574
395	1684	2569
396	1688	2565
397	1696	2565
398	1700	2561
399	1704	2557
400	1710	2555
401	1714	2550
402	1718	2546
403	1722	2541
404	1726	2536
405	1731	2532
406	1734	2527
407	1739	2523
408	1742	2518
409	1746	2513
410	1750	2509
411	1755	2504
412	1759	2500
413	1763	2495
414	1766	2490
415	1770	2485
416	1774	2481
417	1779	2476
418	1782	2472
419	1786	2467
420	1790	2462
421	1794	2458
422	1798	2453
423	1802	2448
424	1806	2444
425	1810	2439
426	1814	2434
427	1818	2430
428	1822	2426
429	1826	2421
430	1831	2417
431	1835	2413
432	1840	2409
433	1843	2404
434	1848	2401
435	1852	2396
436	1857	2392
437	1861	2388
438	1865	2383
439	1869	2379
440	1873	2375
441	1877	2370
442	1881	2366
443	1886	2362
444	1890	2357
445	1894	2353
446	1898	2348
447	1903	2345
448	1907	2340
449	1911	2336
450	1915	2331
451	1919	2327
452	1923	2323
453	1927	2318
454	1931	2313
455	1935	2309
456	1940	2305
457	1944	2300
458	1947	2295
459	1952	2291
460	1955	2286
461	1959	2282
462	1963	2277
463	1967	2273
464	1971	2268
465	1976	2264
466	1980	2259
467	1984	2255
468	1988	2251
469	1993	2247
470	1997	2243
471	2001	2239
472	2005	2234
473	2009	2230
474	2014	2226
475	2018	2222
476	2022	2217
477	2026	2213
478	2031	2209
479	2035	2204
480	2039	2200
481	2043	2196
482	2047	2191
483	2052	2187
484	2055	2183
485	2060	2178
486	2064	2174
487	2068	2170
488	2073	2166
489	2077	2161
490	2081	2157
491	2085	2153
492	2089	2149
493	2093	2144
494	2098	2140
495	2102	2135
496	2106	2131
497	2110	2127
498	2114	2123
499	2118	2118
500	2122	2114
501	2126	2110
502	2131	2105
503	2135	2101
504	2139	2097
505	2144	2093
506	2148	2088
507	2152	2084
508	2156	2080
509	2161	2076
510	2166	2073
511	2170	2068
512	2175	2064
513	2179	2060
514	2183	2056
515	2187	2052
516	2192	2048
517	2200	2047
518	2204	2043
519	2209	2039
520	2215	2036
521	2220	2033
522	2225	2030
523	2230	2026
524	2234	2021
525	2238	2017
526	2242	2013
527	2247	2009
528	2251	2004
529	2255	2000
530	2260	1996
531	2264	1991
532	2268	1987
533	2272	1982
534	2276	1978
535	2280	1974
536	2284	1969
537	2288	1965
538	2292	1960
539	2296	1956
540	2300	1951
541	2304	1947
542	2308	1942
543	2312	1938
544	2316	1933
545	2319	1928
546	2324	1924
547	2327	1920
548	2331	1915
549	2335	1911
550	2340	1907
551	2344	1902
552	2348	1898
553	2352	1894
554	2357	1889
555	2361	1885
556	2365	1881
557	2369	1876
558	2373	1872
559	2378	1868
560	2382	1864
561	2386	1860
562	2390	1855
563	2395	1851
564	2399	1847
565	2403	1843
566	2408	1838
567	2412	1834
568	2416	1830
569	2420	1826
570	2425	1821
571	2429	1817
572	2433	1813
573	2437	1809
574	2442	1805
575	2447	1801
576	2452	1798
577	2457	1794
578	2462	1790
579	2465	1785
580	2470	1781
581	2474	1777
582	2478	1772
583	2482	1768
584	2486	1764
585	2490	1759
586	2495	1755
587	2499	1751
588	2503	1747
589	2507	1742
590	2512	1738
591	2518	1735
592	2523	1731
593	2529	1728
594	2534	1725
595	2540	1722
596	2545	1718
597	2550	1714
598	2554	1710
599	2559	1706
600	2563	1701
601	2567	1697
602	2572	1693
603	2576	1689
604	2581	1685
605	2586	1681
606	2591	1677
607	2596	1674
608	2601	1670
609	2605	1665
610	2609	1661
611	2613	1656
612	2617	1652
613	2621	1647
614	2624	1643
615	2629	1638
616	2632	1634
617	2636	1629
618	2640	1625
619	2644	1621
620	2648	1616
621	2652	1612
622	2656	1607
623	2660	1603
624	2664	1598
625	2668	1594
626	2672	1589
627	2676	1585
628	2679	1580
629	2683	1576
630	2687	1571
631	2691	1567
632	2695	1562
633	2702	1560
634	2706	1555
635	2712	1552
636	2716	1547
637	2720	1543
638	2724	1539
639	2728	1534
640	2732	1530
641	2736	1525
642	2740	1521
643	2745	1517
644	2749	1513
645	2753	1508
646	2757	1504
647	2761	1500
648	2766	1496
649	2770	1491
650	2774	1487
651	2778	1482
652	2782	1478
653	2786	1474
654	2790	1469
655	2794	1465
656	2798	1461
657	2802	1456
658	2806	1452
659	2810	1447
660	2814	1443
661	2818	1438
662	2822	1434
663	2826	1430
664	2830	1425
665	2833	1421
666	2837	1416
667	2842	1412
668	2845	1408
669	2849	1403
670	2853	1399
671	2857	1394
672	2861	1390
673	2865	1386
674	2869	1381
675	2873	1377
676	2877	1372
677	2881	1368
678	2885	1364
679	2889	1359
680	2893	1355
681	2897	1351
682	2901	1346
683	2905	1342
684	2909	1337
685	2913	1333
686	2917	1329
687	2920	1324
688	2924	1320
689	2928	1315
690	2932	1311
691	2936	1306
692	2940	1302
693	2944	1298
694	2948	1293
695	2952	1289
696	2956	1285
697	2960	1280
698	2963	1276
699	2967	1271
700	2971	1267
701	2975	1263
702	2979	1258
703	2983	1254
704	2987	1250
705	2991	1245
706	2994	1241
707	2998	1236
708	3002	1232
709	3006	1228
710	3010	1223
711	3015	1219
712	3019	1215
713	3022	1210
714	3026	1206
715	3030	1202
716	3034	1197
717	3038	1193
718	3042	1189
719	3046	1184
720	3050	1180
721	3054	1175
722	3058	1171
723	3061	1167
724	3065	1162
725	3069	1158
726	3073	1154
727	3077	1149
728	3081	1145
729	3085	1141
730	3089	1136
731	3093	1132
732	3096	1128
733	3100	1123
734	3104	1119
735	3108	1115
736	3112	1110
737	3116	1106
738	3120	1101
739	3124	1097
740	3128	1093
741	3131	1089
742	3136	1084
743	3139	1080
744	3143	1076
745	3147	1071
746	3151	1067
747	3155	1063
748	3159	1058
749	3163	1054
750	3167	1050
751	3171	1045
752	3175	1041
753	3178	1037
754	3182	1032
755	3186	1028
756	3190	1024
757	3194	1019
758	3198	1015
759	3202	1011
760	3205	1006
761	3209	1002
762	3217	999
763	3221	994
764	3224	990
765	3229	986
766	3233	982
767	3237	978
768	3242	973
769	3246	969
770	3250	965
771	3254	961
772	3258	956
773	3263	952
774	3267	948
775	3271	944
776	3275	940
777	3279	935
778	3283	931
779	3288	927
780	3292	923
781	3297	919
782	3301	914
783	3305	910
784	3309	906
785	3313	902
786	3318	898
787	3321	893
788	3326	889
789	3330	885
790	3334	881
791	3338	876
792	3343	872
793	3347	868
794	3351	864
795	3356	860
796	3360	855
797	3364	851
798	3368	847
799	3372	843
800	3377	839
801	3381	834
802	3385	830
803	3389	826
804	3393	822
805	3397	817
806	3401	813
807	3406	809
808	3410	805
809	3414	800
810	3419	796
811	3422	792
812	3427	788
813	3431	784
814	3435	779
815	3439	775
816	3444	771
817	3447	767
818	3452	762
819	3456	758
820	3460	754
821	3464	750
822	3468	746
823	3473	741
824	3477	737
825	3481	733
826	3485	729
827	3490	724
828	3494	720
829	3498	716
830	3502	712
831	3507	708
832	3510	703
833	3515	699
834	3519	695
835	3524	691
836	3528	687
837	3532	682
838	3537	678
839	3540	674
840	3545	670
841	3549	666
842	3553	661
843	3557	657
844	3561	653
845	3566	649
846	3570	644
847	3574	640
848	3578	636
849	3583	632
850	3587	628
851	3591	623
852	3596	619
853	3600	615
854	3604	611
855	3608	607
856	3613	602
857	3617	598
858	3621	594
859	3625	590
860	3630	586
861	3633	581
862	3638	577
863	3642	573
864	3646	569
865	3651	564
866	3655	560
867	3659	556
868	3663	552
869	3667	548
870	3671	543
871	3675	539
872	3679	535
873	3684	531
874	3689	527
875	3694	522
876	3700	518
877	3705	514
878	3710	510
879	3715	506
880	3720	502
881	3726	498
882	3731	494
883	3736	490
884	3742	486
885	3750	482
886	3755	478
887	3758	474
888	3762	469
889	3767	465
890	3772	461
891	3777	457
892	3782	453
893	3787	449
894	3793	445
895	3798	440
896	3803	436
897	3809	432
898	3814	428
899	3819	424
900	3825	420
901	3830	416
902	3835	411
903	3840	407
904	3846	403
905	3850	399
906	3856	395
907	3861	391
908	3867	387
909	3872	382
910	3876	378
911	3880	374
912	3884	370
913	3888	365
914	3892	361
915	3896	357
916	3900	353
917	3904	348
918	3908	344
919	3912	340
920	3916	335
921	3920	331
922	3924	327
923	3929	323
924	3933	318
925	3937	314
926	3941	310
927	3945	306
928	3950	301
929	3954	297
930	3958	293
931	3962	289
932	3966	284
933	3970	280
934	3975	276
935	3979	272
936	3983	267
937	3987	263
938	3991	259
939	3996	255
940	4000	250
941	4004	246
942	4008	242
943	4012	238
944	4016	233
945	4020	229
946	4024	225
947	4027	220
948	4032	216
949	4036	212
950	4040	208
951	4044	203
952	4048	199
953	4052	195
954	4055	191
955	4059	186
956	4063	182
957	4067	178
958	4071	174
959	4075	169
960	4079	165
961	4083	161
962	4087	157
963	4091	152
964	4095	148
965	4099	144
966	4103	140
967	4107	135
968	4111	131
969	4115	127
970	4119	123
971	4123	118
972	4127	114
973	4131	110
974	4135	106
975	4139	101
976	4143	97
977	4148	93
978	4151	89
979	4156	84
980	4160	80
981	4163	76
982	4167	72
983	4171	67
984	4175	63
985	4183	59
986	4188	55
987	4192	50
988	4196	46
989	4200	42
990	4204	38
991	4208	33
992	4212	29
993	4217	25
994	4221	21
995	4225	16
996	4230	12
997	4234	8
998	4239	4
999	4244	0
